Metric_Category,Metric_Name,Value,Unit
Project_Statistics,Total_Sprints,8,sprints
Project_Statistics,Total_Story_Points,141,points
Project_Statistics,Average_Velocity,17.6,points_per_sprint
Project_Statistics,Sprint_Goal_Achievement,100,percent
Project_Statistics,Defect_Rate,0.2,percent
Quality_Indicators,Code_Coverage,85,percent
Quality_Indicators,Security_Audit_Score,95,percent
Quality_Indicators,Response_Time_Average,1,seconds
Quality_Indicators,User_Satisfaction,4.7,out_of_5
Quality_Indicators,Email_Delivery_Rate,97,percent
System_Capabilities,Books_in_Inventory,57,books
System_Capabilities,Admin_Users,5,users
System_Capabilities,Email_Alerts_Active,TRUE,boolean
System_Capabilities,Security_2FA_Enabled,TRUE,boolean
Performance_Metrics,Uptime,99.9,percent
Performance_Metrics,Data_Accuracy,99.8,percent
Performance_Metrics,Mobile_Support,TRUE,boolean
